userId	geneSymbol	geneName	entrezgene	score	gLink
ENSG00000001461	NIPAL3	NIPA like domain containing 3	57185	-2.62577450634988	https://www.ncbi.nlm.nih.gov/gene/?term=57185
ENSG00000003393	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor	57679	-2.13649294876836	https://www.ncbi.nlm.nih.gov/gene/?term=57679
ENSG00000003436	TFPI	tissue factor pathway inhibitor	7035	4.50143452777487	https://www.ncbi.nlm.nih.gov/gene/?term=7035
ENSG00000005022	SLC25A5	solute carrier family 25 member 5	292	1.85339919447373	https://www.ncbi.nlm.nih.gov/gene/?term=292
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	23077	-1.84906673551472	https://www.ncbi.nlm.nih.gov/gene/?term=23077
ENSG00000006116	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	10368	-3.64464962758518	https://www.ncbi.nlm.nih.gov/gene/?term=10368
ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G	8913	-4.66835631702533	https://www.ncbi.nlm.nih.gov/gene/?term=8913
ENSG00000006468	ETV1	ETS variant 1	2115	-3.3332157262648	https://www.ncbi.nlm.nih.gov/gene/?term=2115
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	5048	-1.32843434638033	https://www.ncbi.nlm.nih.gov/gene/?term=5048
ENSG00000007237	GAS7	growth arrest specific 7	8522	-4.18988955745114	https://www.ncbi.nlm.nih.gov/gene/?term=8522
ENSG00000008056	SYN1	synapsin I	6853	-6.4102292019014	https://www.ncbi.nlm.nih.gov/gene/?term=6853
ENSG00000008086	CDKL5	cyclin dependent kinase like 5	6792	-2.91664239324605	https://www.ncbi.nlm.nih.gov/gene/?term=6792
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22	53616	-2.94207797496488	https://www.ncbi.nlm.nih.gov/gene/?term=53616
ENSG00000008441	NFIX	nuclear factor I X	4784	-1.86276475449101	https://www.ncbi.nlm.nih.gov/gene/?term=4784
ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting	5310	-3.51620395219104	https://www.ncbi.nlm.nih.gov/gene/?term=5310
ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	23542	-4.43283497589591	https://www.ncbi.nlm.nih.gov/gene/?term=23542
ENSG00000008988	RPS20	ribosomal protein S20	6224	2.42943613947701	https://www.ncbi.nlm.nih.gov/gene/?term=6224
ENSG00000010322	NISCH	nischarin	11188	-2.12119212068921	https://www.ncbi.nlm.nih.gov/gene/?term=11188
ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1	5725	2.52583518409831	https://www.ncbi.nlm.nih.gov/gene/?term=5725
ENSG00000012822	CALCOCO1	calcium binding and coiled-coil domain 1	57658	-2.66837972523568	https://www.ncbi.nlm.nih.gov/gene/?term=57658
ENSG00000013293	SLC7A14	solute carrier family 7 member 14	57709	-4.24302346326592	https://www.ncbi.nlm.nih.gov/gene/?term=57709
ENSG00000013297	CLDN11	claudin 11	5010	-5.2368671747261	https://www.ncbi.nlm.nih.gov/gene/?term=5010
ENSG00000013306	SLC25A39	solute carrier family 25 member 39	51629	3.39155326331901	https://www.ncbi.nlm.nih.gov/gene/?term=51629
ENSG00000013588	GPRC5A	G protein-coupled receptor class C group 5 member A	9052	4.64888992394545	https://www.ncbi.nlm.nih.gov/gene/?term=9052
ENSG00000014641	MDH1	malate dehydrogenase 1	4190	-1.28117376951923	https://www.ncbi.nlm.nih.gov/gene/?term=4190
ENSG00000015592	STMN4	stathmin 4	81551	-5.2456889656568	https://www.ncbi.nlm.nih.gov/gene/?term=81551
ENSG00000018189	RUFY3	RUN and FYVE domain containing 3	22902	-1.98804079387265	https://www.ncbi.nlm.nih.gov/gene/?term=22902
ENSG00000018236	CNTN1	contactin 1	1272	-5.80347030782437	https://www.ncbi.nlm.nih.gov/gene/?term=1272
ENSG00000018625	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	477	-8.19862201759381	https://www.ncbi.nlm.nih.gov/gene/?term=477
ENSG00000019505	SYT13	synaptotagmin 13	57586	-3.27703604983532	https://www.ncbi.nlm.nih.gov/gene/?term=57586
ENSG00000020129	NCDN	neurochondrin	23154	-2.60031565949555	https://www.ncbi.nlm.nih.gov/gene/?term=23154
ENSG00000021300	PLEKHB1	pleckstrin homology domain containing B1	58473	-5.0312256003566604	https://www.ncbi.nlm.nih.gov/gene/?term=58473
ENSG00000021645	NRXN3	neurexin 3	9369	-6.41240450856977	https://www.ncbi.nlm.nih.gov/gene/?term=9369
ENSG00000021826	CPS1	carbamoyl-phosphate synthase 1	1373	4.13316041480234	https://www.ncbi.nlm.nih.gov/gene/?term=1373
ENSG00000022355	GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit	2554	-7.56649952394057	https://www.ncbi.nlm.nih.gov/gene/?term=2554
ENSG00000023516	AKAP11	A-kinase anchoring protein 11	11215	-1.53561098534325	https://www.ncbi.nlm.nih.gov/gene/?term=11215
ENSG00000026025	VIM	vimentin	7431	3.35183817041487	https://www.ncbi.nlm.nih.gov/gene/?term=7431
ENSG00000026508	CD44	CD44 molecule (Indian blood group)	960	3.55209465927941	https://www.ncbi.nlm.nih.gov/gene/?term=960
ENSG00000030582	GRN	granulin precursor	2896	2.67430600392507	https://www.ncbi.nlm.nih.gov/gene/?term=2896
ENSG00000034053	APBA2	amyloid beta precursor protein binding family A member 2	321	-3.62709760419229	https://www.ncbi.nlm.nih.gov/gene/?term=321
ENSG00000034713	GABARAPL2	GABA type A receptor associated protein like 2	11345	-1.72755179769184	https://www.ncbi.nlm.nih.gov/gene/?term=11345
ENSG00000041982	TNC	tenascin C	3371	3.56223194051727	https://www.ncbi.nlm.nih.gov/gene/?term=3371
ENSG00000044574	HSPA5	heat shock protein family A (Hsp70) member 5	3309	1.40528170656591	https://www.ncbi.nlm.nih.gov/gene/?term=3309
ENSG00000046653	GPM6B	glycoprotein M6B	2824	-4.73528491183242	https://www.ncbi.nlm.nih.gov/gene/?term=2824
ENSG00000047849	MAP4	microtubule associated protein 4	4134	-1.17570256068487	https://www.ncbi.nlm.nih.gov/gene/?term=4134
ENSG00000048540	LMO3	LIM domain only 3	55885	-6.7383600196261	https://www.ncbi.nlm.nih.gov/gene/?term=55885
ENSG00000048740	CELF2	CUGBP Elav-like family member 2	10659	-2.07504585739223	https://www.ncbi.nlm.nih.gov/gene/?term=10659
ENSG00000049323	LTBP1	latent transforming growth factor beta binding protein 1	4052	6.20447856366241	https://www.ncbi.nlm.nih.gov/gene/?term=4052
ENSG00000050165	DKK3	dickkopf WNT signaling pathway inhibitor 3	27122	-3.37739136084781	https://www.ncbi.nlm.nih.gov/gene/?term=27122
ENSG00000050748	MAPK9	mitogen-activated protein kinase 9	5601	-1.81829682999329	https://www.ncbi.nlm.nih.gov/gene/?term=5601
ENSG00000054356	PTPRN	protein tyrosine phosphatase, receptor type N	5798	-3.52865700626277	https://www.ncbi.nlm.nih.gov/gene/?term=5798
ENSG00000054523	KIF1B	kinesin family member 1B	23095	-3.78995285472591	https://www.ncbi.nlm.nih.gov/gene/?term=23095
ENSG00000054690	PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1	57475	-3.34712441621128	https://www.ncbi.nlm.nih.gov/gene/?term=57475
ENSG00000054793	ATP9A	ATPase phospholipid transporting 9A (putative)	10079	-3.86825733692158	https://www.ncbi.nlm.nih.gov/gene/?term=10079
ENSG00000055163	CYFIP2	cytoplasmic FMR1 interacting protein 2	26999	-4.60468139668517	https://www.ncbi.nlm.nih.gov/gene/?term=26999
ENSG00000058091	CDK14	cyclin dependent kinase 14	5218	-5.47910821837521	https://www.ncbi.nlm.nih.gov/gene/?term=5218
ENSG00000058335	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	5923	-6.08066837162443	https://www.ncbi.nlm.nih.gov/gene/?term=5923
ENSG00000058404	CAMK2B	calcium/calmodulin dependent protein kinase II beta	816	-7.50570468188101	https://www.ncbi.nlm.nih.gov/gene/?term=816
ENSG00000058866	DGKG	diacylglycerol kinase gamma	1608	-3.89659757193577	https://www.ncbi.nlm.nih.gov/gene/?term=1608
ENSG00000059915	PSD	pleckstrin and Sec7 domain containing	5662	-6.08066837162443	https://www.ncbi.nlm.nih.gov/gene/?term=5662
ENSG00000060138	YBX3	Y-box binding protein 3	8531	2.54845502450408	https://www.ncbi.nlm.nih.gov/gene/?term=8531
ENSG00000060982	BCAT1	branched chain amino acid transaminase 1	586	2.53335382559063	https://www.ncbi.nlm.nih.gov/gene/?term=586
ENSG00000062716	VMP1	vacuole membrane protein 1	81671	2.89068979267996	https://www.ncbi.nlm.nih.gov/gene/?term=81671
ENSG00000063177	RPL18	ribosomal protein L18	6141	1.51728910935386	https://www.ncbi.nlm.nih.gov/gene/?term=6141
ENSG00000063180	CA11	carbonic anhydrase 11	770	-5.57694569263333	https://www.ncbi.nlm.nih.gov/gene/?term=770
ENSG00000064393	HIPK2	homeodomain interacting protein kinase 2	28996	-1.78811112617618	https://www.ncbi.nlm.nih.gov/gene/?term=28996
ENSG00000064787	BCAS1	breast carcinoma amplified sequence 1	8537	-3.8145602386073	https://www.ncbi.nlm.nih.gov/gene/?term=8537
ENSG00000064961	HMG20B	high mobility group 20B	10362	4.77371000135186	https://www.ncbi.nlm.nih.gov/gene/?term=10362
ENSG00000065609	SNAP91	synaptosome associated protein 91	9892	-7.49623435054428	https://www.ncbi.nlm.nih.gov/gene/?term=9892
ENSG00000065978	YBX1	Y-box binding protein 1	4904	2.27700364964426	https://www.ncbi.nlm.nih.gov/gene/?term=4904
ENSG00000066032	CTNNA2	catenin alpha 2	1496	-4.46438299457678	https://www.ncbi.nlm.nih.gov/gene/?term=1496
ENSG00000066279	ASPM	abnormal spindle microtubule assembly	259266	4.87047305724972	https://www.ncbi.nlm.nih.gov/gene/?term=259266
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	2263	-5.2532275301108	https://www.ncbi.nlm.nih.gov/gene/?term=2263
ENSG00000067167	TRAM1	translocation associated membrane protein 1	23471	1.83592584959539	https://www.ncbi.nlm.nih.gov/gene/?term=23471
